21E	3G	16B	4G	22G	21D	15C	10C	11E	3I	10A	14G	11G	12G	7G	17D	2E	18I	22A	23D	16G	1G	6G	8G	20G	7E	23H	13D	12D	17A	15I	15H	3C	14I	2F	7I	17G	14A	14C	15G	5I	4F	9G	9C	1I	19H	5E	6I	5G	10I	11H	21I	9H	14F	18G	8I	4I	13G	21C	13I	5H	16I	10G	2G	10H	2I	21G	7C	19E	23I	20H	12I	4A	21F	14H	16H	24I	23G	16F	3H	6D	24C	18H	12B	7H	1D	11A	6F	22H	18C	22I	24G	8D	13H	19G	6C	23A	3A	22C	19F	11I	18D	20I	7A	9B	17I	8C	22D	18A	2B	12H	6H	4H	24H	21H	17H	16C	14E	1F	19C	8H	19I	10B	2H	11C	1C	13F	8E	12E	1H	9F	15F	5A	19B	11F	24F	14D	11B	12C	24A
TaxVAMB_S10C28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6426277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8806211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10GC1598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4291296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4018638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0108862	0.0	1.7202427	0.0	0.976353	1.9308074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8634944	0.0	0.0	0.0	0.53635347	0.0	2.2820938	0.0	0.0	0.0	1.3324773	0.0	0.944054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4969752	0.0	0.0	0.0	0.0	2.6275165	0.0	0.0	0.0	0.0	0.0	1.1838443	1.6380708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10GC16	0.0	1.3841853	0.0	0.84731925	0.82110214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2444564	0.5564077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7214718	0.40592453	0.56007504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15257373	0.0	0.0	0.0	0.0	1.50091704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5586886	0.0	0.0	0.0	0.80780244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.627105	0.0	0.44100955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22258885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2807319	0.0	0.0	0.0	1.50142819	0.0	0.0	0.4034398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07033382	0.0	0.0	0.0	0.0	0.0	0.0	0.31725034	0.9217372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5006202	0.0	0.0	0.0	0.0	0.0	0.6847179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10GC21	0.0	0.7097668	0.0	8.3587885	0.0	0.0	0.0	0.0	0.0	8.68779	0.0	0.6576911	1.3538964	6.7423525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1862159	2.826936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0751266	0.0	0.0	1.9353737	0.37010038	0.0	0.0	0.0	0.0	0.34551993	0.0	0.0	5.2854195	0.0	2.6864371	0.0	0.0	0.0	0.7434855	0.0	0.0	0.0	0.0	0.0	0.5196192	0.0	0.81718063	0.63533527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7626705	0.0	8.713551	0.0	0.0	0.0	0.0	0.0	0.30985144	0.0	1.41441215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10GC3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58225995	0.0	0.0	0.0	0.0	0.1926906	0.0	0.0	0.0	0.0	0.65422696	0.0	0.0	0.26533604	0.37802705	0.0	1.7308782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6129907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90409327	0.34720087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2083957	1.2047981	0.0	0.5435118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.733281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.604558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10GC33	0.0	0.0	0.0	0.0	15.078862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5401048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.871728	0.0	3.4448183	4.430009	2.1958356	0.0	0.0	0.0	0.0	0.0	0.0	0.13681367	0.0	0.0	0.0	0.0	0.7698684	0.0	0.0	0.0	0.6995913	0.0	0.0	0.0	0.0	0.0	0.94009733	0.0	0.97549236	0.0	0.0	0.513135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0177933	0.0	0.35312808	0.4217952	0.0	0.37678924	0.0	0.0	0.0	0.848458	0.0	0.425043	0.0	0.0	0.0	0.0	0.0	1.9736235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30173117	0.0	2.894298	0.0	0.0	0.0	1.4671241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2320766	0.0	0.0	0.0	0.0	0.29909408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10GC3945	0.7811734	1.8845264	1.4324512	3.430636	2.7079566	0.0	0.48816073	0.0	0.0	1.678927	0.0	14.530114	2.6227663	3.2426424	2.6765282	0.0	0.0	2.9195037	0.0	0.0	5.9857287	0.0	4.246233	3.681766	4.425662	2.5223475	5.1607957	4.5733485	1.0624279	0.0	3.7968156	2.4882956	32.83215	3.2564948	1.0028898	8.0028	0.0	30.530771	0.0	12.710134	6.089623	0.0	5.3438535	13.441965	5.894351	2.4903128	1.9771806	5.391036	3.9442363	8.673122	10.372719	5.935633	15.058001	1.190568	8.793805	4.864996	2.9469519	2.93843	0.0	3.6527245	5.045795	2.749149	5.0466633	5.63602	7.795011	7.117076	6.7397785	0.0	0.0	5.023957	12.302522	0.0	0.0	7.058163	4.246255	3.8158624	2.0453515	0.0	0.8222236	2.548968	4.434603	1.7056158	6.670221	0.0	8.672452	0.0	0.0	1.2859672	4.305004	5.0347223	3.8345814	2.7828846	2.3888388	7.3409	0.0	5.334297	0.0	0.0	0.0	0.0	2.2628934	19.48729	0.0	0.0	0.0	6.4066725	4.218297	0.0	0.0	0.0	4.1663637	0.0	2.8864372	3.8669324	3.5198412	0.0	0.0	0.8906181	0.0	1.9156524	0.0	0.7932657	0.0	3.1227744	1.4548184	0.0	1.0305141	1.638325	2.3589327	2.283717	1.0811979	0.59094894	0.0	0.0	0.0	0.43675837	0.0	0.0	0.0	0.0
TaxVAMB_S10GC63	0.0	0.0	0.0	13.114673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6163063	3.1975803	36.54297	41.6196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0815975	13.0505085	0.25075507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.014512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2884865	0.0	14.5373955	0.0	0.0	3.4401975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83911663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32164738	0.0	0.0	0.0	0.0
TaxVAMB_S10HC199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7195144	1.2193925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1814015	0.0	0.0	0.0	1.6481025	0.0	0.0	0.0	0.0	4.0471525	0.0	0.0	0.0	0.0	5.2737103	0.0	0.0	0.0	0.0	1.2253582	0.93481964	0.0	0.0	0.0	1.002674	0.0	0.0	0.0	0.0	0.0	6.105946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9282691	0.0	0.0	0.0	0.0	4.9481297	0.0	0.0	0.0	0.0	2.2931855	4.2791724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7096224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0323973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0790193	0.0	2.1703668	0.0	0.0	0.0	0.0	0.0	2.1583056	1.048544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10HC69	0.0	36.89481	0.0	15.025746	12.512548	0.0	0.0	0.0	0.0	0.6943303	0.0	10.184421	0.0	0.0	0.66163737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7923442	2.4903696	0.59479016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.34339	0.0	0.0	0.0	0.0	1.427262	0.0	0.0	0.8166323	0.0	0.0	0.0	0.0	0.0	2.2639737	0.0	0.0	0.0	0.0	0.0	0.5097187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7058071	0.51635283	0.37254307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.486217	0.71905994	0.0	0.47747114	0.0	0.74662983	0.0	0.0	0.0	0.0	1.136387	0.0	0.0	4.844393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5510214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58292836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2356579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
